LocusTag,Function
JCVISYN3A_0416,Uncharacterized protein
JCVISYN3A_0143,Uncharacterized protein
JCVISYN3A_0081,"tRNA uridine(34) 5-carboxymethylaminomethyl
"
JCVISYN3A_0107,Transcription antitermination factor
JCVISYN3A_0132,Toxin-antitoxin AAA ATPase
JCVISYN3A_0290,tRNA pseudouridine(55) synthase
JCVISYN3A_0692,Uncharacterized pseudouridine synthase
JCVISYN3A_0030,"Uncharacterized ABC transporter ATP-binding
"
JCVISYN3A_0776,SsrA-binding protein
JCVISYN3A_0151,Translation elongation factor Tu
JCVISYN3A_0422,50S ribosomal protein L28
JCVISYN3A_0271,"tRNA
"
JCVISYN3A_0503,Uncharacterized protein
JCVISYN3A_0421,Uncharacterized protein
JCVISYN3A_0137,50S ribosomal protein L31
JCVISYN3A_0649,Translation initiation factor IF-1
JCVISYN3A_0046,Recombination protein
JCVISYN3A_0693,Uncharacterized protease
JCVISYN3A_0672,30S ribosomal protein S10
JCVISYN3A_0593,Uncharacterized protein
JCVISYN3A_0644,50S ribosomal protein L17
JCVISYN3A_0656,50S ribosomal protein L6
JCVISYN3A_0832,Aminoacyl-tRNA hydrolase
JCVISYN3A_0870,"Uncharacterized C4-dicarboxylate ABC
"
JCVISYN3A_0366,"L16-binding dependent 50S subunit-maturation
"
JCVISYN3A_0315,Uncharacterized protein
JCVISYN3A_0516,Uncharacterized protein
JCVISYN3A_0109,Deoxyribonuclease IV
JCVISYN3A_0833,50S ribosomal protein L9
JCVISYN3A_0350,DNA-binding protein
JCVISYN3A_0029,Uncharacterized FMN-dependent NADH-azoreductase
JCVISYN3A_0691,Uncharacterized protein
JCVISYN3A_0257,RNase J family beta-CASP ribonuclease
JCVISYN3A_0669,50S ribosomal protein L23
JCVISYN3A_0852,Uncharacterized protein
JCVISYN3A_0605,Uncharacterized protein
JCVISYN3A_0663,50S ribosomal protein L29
JCVISYN3A_0930,50S ribosomal protein L33
JCVISYN3A_0328,Chromosome segregation protein B
JCVISYN3A_0887,Coenzyme A Disulfide Reductase
JCVISYN3A_0440,Uncharacterized lipoprotein
JCVISYN3A_0285,Elongation factor 4
JCVISYN3A_0375,Uncharacterized protein
JCVISYN3A_0424,Uncharacterized protein
JCVISYN3A_0775,Ribonuclease R
JCVISYN3A_0004,"16S rRNA
"
JCVISYN3A_0200,Translation initiation factor IF-3
JCVISYN3A_0859,DNA topoisomerase I
JCVISYN3A_0885,"tRNA uridine(34) 5-carboxymethylaminomethyl
"
JCVISYN3A_0599,Uncharacterized protein
JCVISYN3A_0286,Uncharacterized protein
JCVISYN3A_0327,Chromosome segregation protein A
JCVISYN3A_0615,Uncharacterized protein
JCVISYN3A_0530,Uncharacterized protein
JCVISYN3A_0544,Heat-inducible transcription repressor
JCVISYN3A_0655,50S ribosomal protein L18
JCVISYN3A_0077,Uncharacterized hydrolase
JCVISYN3A_0095,Preprotein translocase subunit A
JCVISYN3A_0202,16S rRNA (guanine(966)-N(2))-methyltransferase
JCVISYN3A_0299,Uncharacterized protein
JCVISYN3A_0326,Uncharacterized protein
JCVISYN3A_0409,Uncharacterized protein
JCVISYN3A_0359,Ribonuclease Y
JCVISYN3A_0392,Uncharacterized protein
JCVISYN3A_0360,Signal recognition particle protein
JCVISYN3A_0248,Uncharacterized protein
